id,tweet,sarcastic,rephrase,dialect
470,منتخب الصالات يواجه جواتيمالا اليوم فى الجولة الثانية بكأس العالم,1,يواجه منتخب مصر لكرة الصالات نظيره جواتيمالا، اليوم الأربعاء فى الجولة الثانية ,nile
471,وراء كل رجل عظيم امراه تقول له انت لست عظيما,1,المراه تحاول احباط زوجها وهو بمنطلق العند يحاول ان يكون عظيما,msa
472,النساء بعد الصحافة هن افضل وسيلة لنقل الخبار,1,النسلء ثرثارات ويفضلن التحدث عن الغير ونقل الاخبار,msa
473,سلاح النثى لسانها فكيف تتركه يصدا بعدم الاستعمال,1,الانثى لا تعرف الافعال لكن سلاحها هو دبش الكلام الصادم ,msa
474,احترس من قرني الثوروحوافر الحصان وابتسامة بعض الناس,1,عليك ان تحترس من بعض الناس اللي تظهر لك الخير والشر يملا قلبهم,msa
475,كان من الرائع اكتشاف امريكا ولكن كان اروع لو لم يتم استكشافها,1,امريكا تشكل خطرا كبيرا على جميع الشعوب بما فيهم الوطن العربي,msa
476,ده فاكر نفسه عمر الشريف ,1,فاكر نفسه جان,nile
477,شهر سبتمبر عدى منها خمسة عشر يوم فى ثلاث ايام فقط ياريت كل الشهور تتعلم منه,1,شهر سبتمبر عدى بسرعة,nile
478,سلاما على من احبونا رغم عيوبهم قصدك رغم عيوبنا لا احنا مابنغلكش,1,سلاما على من احبونا,nile
479,مع احترامى لكل انواع الكافيين ومشتقاته بس مافيش حاجة بتسهرنى زى خيبتى,1,مش بعرف انام ,nile
480,تبدأ بالحاف وتنتهي بمرتبه وهكذا الحياه...شدوا حيلكم والهو عقول الناس عشان بقينا تافهين جدا ورايقين جدا..,1,ابنة هبة قطب باللحاف,nile
481,بص قول ادفعو المصاريف واحنا هندفع لكن شغل سيكون منتظما داا مش حلو وحنا عارفين ف الاخر هنقضيها اون لاينن,1,المهم جباية المصاريف,nile
482,دي موضه وقولنا عااادي بس بس تقفلوا البلكونه وتفتحوا البدروم ينفع ....,1,تغطي من فوق وتحت متعري,nile
483,ده مش هيديك حاجه وهيقولك جحا أولى بلحم توره,1,شخصية بخيلة التي تريد الحصول على كل شئ وتدعي الكرم,nile
484,فاكر انة هيعرف يخلص الشغلانة بسرعة .. موت يا حمار !!,1,شخص مخادع لا يستطيع اكمال عملة,nile
485,الحياة بدون أخت متل الشارع بلا زفت,1,التعب فى الحياة,levant
486,عشنا وشفنا وما بقى شي يدهشنا,1,عدم الاستغراب من اى شى يحدث,levant
487,الناس اللي فاكرين نفسهم محور الكون دول طيبين اوي ,1,اللي شايفين ان كل حاجة بتدور حواليهم هما بس ساذجين واغبيا,nile
488,و جاي علي نفسك و صاحي بدري أوي كده ليه,1,قايم من النوم متأخر جدا,nile
489,لول انا  مكنتش عامل حسابي  اعيش لحد دلوقتي 😂,1,محوشتش اي فلوس ولا عملت اي حاجة لمستقبلي,nile
490,البيت ده طاهر وهيفضل طول عمره طااهر,1,البيت ده كله وساخة و سلوك مش حلو,nile
491,كان القرد نفع نفسه يسطا,1,انت نفسك مبتعملش بكلامك,nile
492,هي الدنيا مالها بردت كده ليه,1,هو فيه ايه يا جماعة ,nile
493,رد عليا بسرعه مش قادرة اتنفس ,1,انت بتتجاهلني ليه,nile
494,السينمات دلوقتي بقت تعمل فيشار حلو اووي مش بتعرض افلام,1,مبقاش في افلام كويسه,nile
495,فين الشمس  بتاعه زمان كنت تاخد منها كميه فيتامين د ,1,مبقاش فيه شمس,nile
496,وحيات امك خف تعوم عندى الناس كلها سواسيه,1,اى تكون مقدر للناس الى حواليك,nile
497,مش فاهم انا مين الذكي الي بوصل الطرد على رقم جوال فبيبعت رسالة لرقم جوال ثاني,1,هادى غبي,levant
498,دا عامل فيها ابو العربى,1,دا شخص مبالغ جدا,nile
499,رونالدو يصطاد العصافير في أولد ترافورد,1,رونالدو يسدد في السماء,msa
500,نادي الزمالك نادي الوطنية والكرامة,1,نادي الزمالك بلا كرامة,msa
501, الموت غرباً وشرقاً وجنوباً 😥 ...ربي نرجو رحمتك ونخاف عذابك فأمنن علينا يا الله بفرجٍ قريب يُعز فيه أهل طاعتك ويُذل فيه أهل معصيتك...  ليبيا ,0,,msa
502, وندهلي حبيبي جيت بلا سؤال من نومي سرقني من راحة البال 😍✋ فيروز ,0,,msa
503,عار عار عار عار عار عار مانحن فيه عار الدماء أنهار والشهداء بالعشرات الرصاص فى الرأس والرقبة والصدر,0,,egypt
504, اشغل أغنية ل  فيروز  بردنا يحتاج ,0,,msa
505,اللهم امطر على قبر  محمد حسين جمعه وعلى قبور جميع موتانا وموتى المسلمين من سحائب رحمتك يارب اللهم اغسلهم بالماء والثلج والبرد,0,,msa
506, علامات: من علامات موت القلب عدم الحزن على مافات وعدم الفرح على ماهو آت,0,,msa
507,  ماذا لو المدارس مختلطهاتذكرعندماكنت طالبه بالثانويه كانت هناك طالبات يدرسون في السعوديه مبتعثات من المغرب الجزائرواندنوسيا . ,0,,msa
508,  حلب فرانس برس:  واشنطن تتهم ضباطا سوريين بالاسم بارتكاب تجاوزات بحق المدنيين خلال جلسة  مجلس الأمن . ,0,,msa
509,رجُولتكَ وهَبتني أُنوثّه مُختَلفَه ، مَ اَجمَلني بِكَ !  صباحي,0,,msa
510,نعلم ما تمثله مصر لإفريقيا وندعم خارطة الطريق  السادة المحترمون,0,,msa
511, بمناسبة عيد المولد النبوي الشريف أهنئ الامةالاسلامية وخاصة من يفرحون بذكرى ميلاد الحبيب محمد صلى الله عليه وسلم كل عام وانتم بخير وعز وشرف ,0,,msa
512,السلطات تمنع الكثيرين من محامي اسر الشهداء من حضور محاكمة مبارك المحامون من حقهم حضور المحاكمة ولا ستتحول الى شيء اخر غير المحاكمة,0,,msa
513, صحت مبادرة  كيري الشرعية اليمنية من سبات عميق ورأينا مالم نراه منذ تحرير عدن شكرا كيريإضغط لكي يتحرر باقي اليمن  تعز   ميدي ,0,,msa
514,بعد غيبة و طول انتظار ها قد عاد  الاستقرار من جديد :))  النور قطع  الهرم,0,,msa
515,الوزراء اغلبهم أكاديميين من حملت الدكتوراه نتمنى  مجلس الوزراء يجمع الأكاديمي والناجح من القطاع الخاص,0,,egypt
516,لابد من حملة إنتخابية على الارض تتواصل مع الناخبين والناخبات ولا تعتمد فقط على الصحافة والتليفزيون,0,,egypt
517, حبيب ريكي مارتن اصله سوري 🙊لابقييين لبعض 💕 ,0,,levant
518,  سوريا النائب قربي:  ندعو المجتمع الدولي للضغط على  تركيا لاغلاق الحدود أمام المجموعات الإرهابية ادلب  حلب  داعش  جبهة النصرة ,0,,msa
519,شاهد - الرجل الثالث حمدين صباحي في آخر كلام  ,0,,msa
520,3 تم الإتصال أكثر من مرة وستكون عندنا بالغد في لجنة حقوق الإنسان,0,,msa
521, بعد انهزام رينزي في استفتاء ايطاليا اوروبا تتجه رويدا الي الشعبوية و اليمين المتطرف ,0,,msa
522,كان  محمد يسرى سلامة صاحب رسالة كافح من أجلها طيلة حياته ولذلك فحتى موته كان بمثابة رسالة,0,,msa
523, عيد الأم الام هي عيد الحياة,0,,msa
524,الإمارات اليوم: محلّلون: التصحيح ضرورة لبناء مراكز مالية جديدة -  الإمارات  بالعربي,0,,msa
525,مصادر : 80 حافلة خرجت من أحياء حلب الشرقية حتى الآن تحمل مسلحين وعائلاتهم.,0,,msa
526,  غزة-جيش  الاحتلال يؤكد اشتباك قواته مع المتظاهرين شرق غزة مساء اليوم ,0,,msa
527,"بعد رفض ضياء رشوان (قطة النظام) تعديلات الدستور التى تجاهلت مقترحات نقابة الصحفيين, انتظروا فتح قضية قديمة لرشوان او اولاده, هتسكت ولا نذيع",0,,msa
528, بيبآن من سلامي .. بيبان من كلامي ..بشتقلك وكل مآ فيآ بيشتقلك معآيآ 💔 اليسا ,0,,egypt
529,تدوينة هامة,0,,msa
530, سيعلن جوليان أسانج مؤسس منظمة ويكليكس و من لندن عن فضيحة يقول انها ستحطم ☠هيلاري كلنتون و تنهي عائلة كلنيون.  تاسي  كويت  بورصة  فوركس ,0,,msa
531, لا تقل لماذا منع  الصهاينة الأذان في  القدس .. و قل لماذا طبع معها  الأخوان و قد فعلت .. أردوغان ,0,,msa
532,اتمنى ان نتوحد جميعا لتحقيق اهداف الثورة المشكلة إقصاء المعترضين على فكر الاسلام السياسي أنا مسلم يساري هل يعترف مشايخ السلفية بإسلامي,0,,msa
533, ستبدأ بعد ساعه ونصف اول مناظره بين المرشحان لنائب رئيس الولايات المتحده وهما تيم كين  نائب ل هيلاري كلنتون مايك بنس  نائب ل دونالد ترامب ,0,,msa
534,الجيل الحالي مثقف ومتفتح ويحسن فهم الناس  السادة المحترمون,0,,msa
535,يسقط حكم العسكر  انزل 30 اغسطس  مصر تنتفض ضد العسكر  مصر,0,,egypt
536,انصار الحرية والديمقراطية فى اوروبا وضعوا الشجاعة قبل اى شيئ اخر ناد ايطالي ينتظر موقف الانقلاب من عبد الظاهر,0,,msa
537,وحيات عينيك ،،،، اخذ صوت اخذ وجه حسن وطرب اصييل  مصر  الجيزة  القاهرة  شادية  الاهرامات  اسيوط…,0,,egypt
538,إمسك فلول !!,0,,msa
539,  الشنقيطي بلا حدودحركة  حماس هي الأنضج من الحركات الإسلامية الموجودة في العالم الإسلامي اليوم. ,0,,msa
540,رحم الله سامر سليمان، كان مصريا مخلصا لقيم المواطنة والديمقراطية وأستاذا متميزا للاقتصاد السياسي، رحمه الله,0,,msa
541,شهداء أسيوط فى جنة الخلد لن يضيع حقكم و لن نرهب من القتلة و الإرهابيينو يوم الحساب لقريب,0,,msa
542,ملف العدالة الاجتماعية هو الملف الاهم و الابرز لمحاربة الافكار المتطرفه,0,,msa
543,أدين بكل قوة العنف بكافة أشكاله وصوره ضد كل إنسان أيا كانت عقيدته أو انتماؤه قوتنا هي الحق وسلميتنا هي السبيل,0,,msa
544,جمهورية  شبرا الخيمة :),0,,msa
545,شاهد-  فيفي عبده راقصة سيذكرها التاريخ  الحكم  1,0,,msa
546,مصر القوية |10-لقد حذرنا في حزب مصر القوية ولا زلنا نحذر من خطورة تحول سلطات الدولة إلى مجرد سند لسلطة عسكرية لا تفهم الس…,0,,msa
547,طب إيه المشكلة في أشغال طريق فاضي؟ عشان مين يعرف يتحرك بالضبط إذا الناس روحت؟,0,,egypt
548,إبداع الفشل بعض أحيان يزيد إلهامه عن إبداع النجاح,0,,msa
549,  :  معرض الكتاب كتاب : المشوق إلى القراءة وطلب العلم لـ الشيخ    ,0,,msa
550,برنامج مش صعبة د حمزاوي شرح مصطلح  الأمن القومي  :,0,,msa
551,أنعي إلى كل مصري وكل عربي المناضل زكريا محي الدين الثائر ورجل الدولة من حجز مكانه في أنصع صفحات تاريخنا المعاصر، رحمه الله وألهمنا الصبر,0,,egypt
552,القدس-شرطة  الاحتلال تعتقل ٣٠ مشتبها من مناطق شتى في البلاد للاتجار بالمخدرات,0,,msa
553, إنها تُمطر.اللهم أجعلها صيباً بنغازي ,0,,msa
554,حفيد السلطان عبدالحميد مرشح للبرلمان التركي القادم ، بشعار رابعة تحية لك  مرسى رئيسى  تركيا  كلنا قطر,0,,msa
555, هاتسبني تفضل سبني من غير ما تهديدني عمرك متعوضني ~~اناقلبي هايوجعني  اليسابستغرب انا الغنية دي وايد البدايه قويه والنهايه ضعيف ,0,,egypt
556, عين تدمع وقلب يحزن ولسان يتلعثم وإلى الله المشتكى! القدس حلب الموصل فلسطين سوريا العراقكان الله في عونكم ؛ الله ينصركم على الظالمين💔 ,0,,egypt
557, حلبحلب ترحب بكمطرد  الإرهاب من حلب الشرقية بداية النهاية للقوى المظلمة  الوهابية  الغربية و  الصهيونية سورية روسيا إيران ,0,,msa
558, نفس القرار الذي صوتت علي مصر في الأمم المتحده ، هو نفس القرار الذي وافق عليه أردوغان في إجتماعه مع بوتين البارحه . ,0,,msa
559, مقدسااتنا اخواننا العرب ينادوننا هل ننتظر الضمير العالمي واين هو الضمير العالمي ؟اهذه هيا عروبتنا ؟!  القدس ,0,,msa
560, كلها كوم.. ويصير صديقي استاذ كوووم ثاني… ياربي رباااااااه.. 😱😨😰  ماذا لو المدارس مختلطه ,0,,msa
561,  مافيش مقارنة في السعر بس معلوماتي إن نسخة الهلال محذوف منها أجزاء أرجو إنك تتأكد من دهطبعا أسعار الهلال أرخص لأنها دار حكومية,0,,egypt
562, كانت مدرستي مختلطة لمن الثانوية ☺   ماذا لو المدارس مختلطه ,0,,msa
563,إيران ترمب10. العلاقة بين  طهران و  واشنطن قُطعت منذ 1980 بعد أشهرٍ على ثورة الخميني 1979 وأطاحت بحليف  الأميركيين الشاه محمد رضا بهلوي.,0,,msa
564,أنا راجع من الساحل وسأسعى للحضورًباذن الله الف مبروك,0,,msa
565,  الحد الجنوبي  اما حان وقت الجهاد سوريا  الموصل  اليمن  لبنان  الاحواز(يا ايها الذين امنو خذوا حذركم فانفروا ثبات او انفروا جميعا) ,0,,levant
566,لن يعود لمصر توازنها الا بحل سياسي يبدأ بالشفافية و المصداقية وبحكومة انقاذ وطني من أجل استعادة الأمن وتعافي الاقتصاد وبدستور لكل المصريين,0,,msa
567, اسلحه امريكيه يمتلكها حزب الله المجوسي  من اين لك هذا؟ ,0,,msa
568,  بنغازي انباء عن سقوط قذيفة بمنطقة ارض  ازواوه والحمدلله لا توجد اضرار بشرية . ,0,,msa
569,حامدين، راضين، عليك متوكلين لك الحمّد  ربنا ف آتمم نعمتك علينا وعافيتك وسترك وآسعدنا في الدنيا والاخره,0,,msa
570,كما تهمنا  مصر تعنينا  دمشق وكما تُشقينا  غزة تقتلنا  بغداد وكما نحب  اليمن نخشى على  ليبيا أما  قطر فهي سيدة النهوض و…,0,,msa
571,  امير  الليل  رامي عياش ,0,,msa
572, أتمنى وبقوة وخاصة الصفوف الدنيا فالنساء افضل  بطريقة  التعامل مع الأطفال  ماذا لو المدارس مختلطه ,0,,msa
573,لن نسمح أن يزج بنا فى حرب أخرى وتدخلنا بـ  سوريا و  أوكرانيا من أجل الحل السلمي أميركا  العرب,0,,msa
574,قبائل على بالمنطقة الغربية ممتدة لداخل العمق الليبى ومتعاطفين مع الاسلاميين ولم يايدوا  مبارك او  العسكر بعد  ثورة يناير ويمكن ان يلعبوا دور,0,,msa
575, 🔷 قوات الاحتلال تجمع هواتف المارة وتقوم بتصفح موقع  فيسبوك  الخاص بهم على حاجز مدخل قرية عابود صباح اليوم. ,0,,msa
576,هذه هي الأيام التي تجعلك تبدأ في التفكير بجدية فيما قاله نيتشه  عندما تحارب الوحوش إحذر ألا تتحول إلى وحش اللهم لا تفقدنا إنسانيتنا أبدا,0,,msa
577, ليتني ريال مدريد وانت الابطال  طقس العرب ,0,,msa
578,نزال الليلة سوف يدخل فيه ترامب مجروحآ. ليس لديه ما يخسره. اتوقع بيغامر وبيهاجم عائلة كلنتون خصوصآ فضيحة بيل. هيلاري ذكية سوف تتركه يدمر نفسه,0,,msa
579,  نبيل الحلفاوي يقصف جبهة  عمرو أديب ..😂😂 أهلاوي..💜 ,0,,msa
580,شكرا جزيلا,0,,msa
581, لو أدرك  المسلمون حقيقة ماذا فعل  الاحتلال   الاستعمار بهم ..لفهموا حقيقة  الإسلام وتاريخه ..المغيب المقصود من أدوات  الاحتلال!! ,0,,msa
582, دعوة الصائم لاترد اللهم أغفر لي ذنبي وأجلي همي وبدد وحشتي وأنر قلبي بذكرك وطاعتك وأجعل الخير مفاتح دربي والصدق نور طريقي,0,,msa
583,صح وعارف انه لا بكاء على دم الارهابي اومن يمارس عملا عدائيا تجاه الوطن او اقترف عملا من اعمال العدو ومصريتنا ليس رقم قومي وحسب,0,,msa
584,2050 البرادعي مواقفه انضف بكثير من بتوع أكبر قيادي إخواني أو سلفي ده تاريخ ومش هتعرفوا تغيروه الراجل ما بيريلش ع الكرسي,0,,egypt
585, تبقى مناظرة اخيره بين المرشحين للرئاسة الامريكية. اظن بل اجزم ان الفوز سيكون من نصيب هيلاري كلنتون. والعلم عند الله لكن المعطيات تقول ذلك ,0,,egypt
586,حتى اللى حكتله عن اللى سابوك و قالك ان معاك مش هسيبك سابك هو كمان  مبقتش تفرق,0,,egypt
587, الرئيس  ميشال عون. ابشرك سيخسر حليفك الطاغية الاسد ولو بعد حين بإذن الله . ,0,,msa
588,  مازالت المشكلة من الداعى وتحت اى راية نجتمع و اسم التجمع و تيار ثالث و لا تيار شعبىو من يقود هل يعقل,0,,egypt
589,عنوان المصري اليوم  باسم يوسف يظهر ملتحيا عنوان غريبكأن الذقن حكر على مجموعة من الاشخاص النمطية مرض,0,,egypt
590, لو تفتح  عمل الشيطان .  ماذا لو المدارس مختلطهوالحمد لله أنها ليست مختلطة  العقول هي المختلطة ,0,,msa
591,عندي ثقة فيك .. و بكفي <3 فيروز,0,,egypt
592, حمزة نمرة انساان :),0,,msa
593,روحي تحبك ♡  عبدالمجيد,0,,gulf
594,بإذن الله أشارك المهندس خالد عبد العزيز (رئيس المجلس القومي للشباب) في افتتاح الخيمة الرمضانية الشبابية في,0,,msa
595,شاهد - آخر كلام: لماذا مليونية الجمعة 8 يوليو   والد أحد شهداء,0,,msa
596,ترقبوا الاثنين ١٠مساء بتوقيت مكة حلقة خاصةعن جدلية الفن والسياسة ببرنامج  للقصة بقية ودور  غوار و  عادل إمامحلقة مثيرة ونقاش أشد إثارة,0,,msa
597,أرفض الدستور الذي ينص على محاكمة المدنيين عسكرياً,0,,msa
598,حدث في ٢٠١٦ صعود اليمين المتطرف في العالم بروز المملكة كدوله عظمي  الأمم المتحده تشارك في قتل الشعوب ونشر الكولرا ف العالم,0,,msa
599, لما غيرت نظارتي خليتها دائرية كان كل البيت يتطنز علي وصرت هاري بوتر وكل شي والحين كل شوي جاي عندي احد يجربها بيشترون مثلها ,0,,gulf
600, تخيل إنك أعمى ؟ أو مكفوف ؟ لا سمح الله أكثر الناس راح يقدرون النعمة إذا فقدوهآ !  حقيقه,0,,egypt
601, بعبارة أخرى ليس هناك فرق بين حلف الذي يشارك فيه  المغرب والذي يشن عدوان على شعب  اليمن وبين حلف  روسيا +   الناتو مع  الأسد ضد شعب  سوريا ,0,,msa
602,ومع ذلك سقطت بالأمس وإلى الأبد مقولة أن التيارات الديمقراطية لا شعبية لها وأن للإخوان ولحلفائهم احتكار الارادة الشعبية وتوكيل الصناديق,0,,msa
603,البقية فى حياتك كان راجل عظيم,0,,egypt
604,رئيس المجلس الاعلى للقضاء الحالى من رموز استقلال القضاء وقد صنع مشروعا عظيما مع المستشار احمد مكي من اجل استقلال القضاء الواجب مساندته,0,,msa
605,(بأي ذنبٍ قُتلت)؟!  مجزرة رابعة العدوية  السيسي …,0,,msa
606, يله احد يتزوج ويجيب ميريام فارس بزواجه ويعزمن ,0,,levant
607,بيان الجيش واضح ولا مجال للحديث عن انقلاب عسكري إلا من كذابي الإخوانمرسي استهان بشعبه وقرر أن يكون رئيسا لعشيرته فقط فأسقطه الشعب,0,,msa
608,اللهم بلغنا رمضاااااااااان  نفسي يرجع بقا,0,,egypt
609,ارتفاع رهيب لسعر صرف الدولار في ليبيا1$ = 7.5 دينار ليبيا,0,,msa
610,  غرد كانك في التسعينيات المطرب الصاعد وائل كفوري والمطربة الصاعدة نوال الزغبي يتألقان في دويتو بعنوان  مين حبيبي أنا  ,0,,msa
611, بعدما فشل مشروع أوباما :انسحبت بريطانيا ، وهناك محاولاتلصعود اليمين المتطرف في أوروبا. ,0,,egypt
612,اجمل ما رأت عيني في  معرض الكتاب ، ️,0,,msa
613,دعم المعتصمين والثوار واجب وطني,0,,msa
614, سبع دول من تدعم داعش امريكا بريطانيا فرنسا إسرائيل تركيا السعوديه قطر ,0,,msa
615,الأ‌مل هو تلك النافذه الصغيرة التي مهما صغر حجمها إلا‌ أنها تفتح آفاقا واسعة في الحياة,0,,msa
616, مقطع روبيرت دي نيرو المنتشر بالواتس اب وهو يسفل ب دونالد ترامب، صنع ليلتي ههههههههخلاه ما يسوى التالية من الغنم 😄😄ستوبيدبونك = وضيع 😄 ,0,,gulf
617, ياويلللي اعوذ بالله  ماذا لو المدارس مختلطه ,0,,egypt
618,من يفهم في القانون اكثر من الفقيه الدستوري الدكتور ثروت بدوي والدكتور عاطف البنا والاستاذ جمال عيد كلهم أيدوا قرار الرئيس بعودة البرلمان,0,,msa
619,سقوط الانقلاب وشيك لكن انصاره سقطوا فعلا فى عيون كل الاحرار,0,,msa
620,مضمون كلمة الرئيس، الاستعلاء على المطالب الشعبية والدفاع عن الأخطاء عوضا عن التراجع عنها وتبرير عنف جماعته ودعوة حوار شكلية، لك الله يا مصر,0,,msa
621, الوفد - تأسيس  السيسى لحزب سيصيب الحياة السياسية بالخلل,0,,msa
622,سلامة أحمد سلامة، تركت إرثاً من الأخلاق حين عزت و من الحصافة حين اهتزت و من الشجاعة حين كان لها ثمن يرحمك الله,0,,msa
623, صعبة النغمّ مآ يحن على غيآب الوتر.  اليسا ,0,,msa
624,  حلب :  الجيش السوري يحكم سيطرته على كامل الأقسام الشرقية لـ  حي كرم القاطرجي ، و  حي باب النيرب و  حي الحلوانية. ,0,,msa
625,شبح اضطرابات عشية التصديق على عشرات الإعدامات | الأخبار  مصر  القاهرة  محمد…,0,,msa
626, الى اي قاع تدنت دناءتكم يا ايها المجتمع الدولي المنافق ... حسبي الله ونعم الوكيل  حلب تباد ادعو لحلب ..مالنا غير الدعاااء. الدنيا اغرتنا ,0,,msa
627,سـلبت مـني المـناامـ و العـقل تـوهتـه  اتجنن,0,,msa
628,  الجيش السوري يسيطر بشكل كامل على’’السكن الشبابي’’ في الأحياء الشرقية بـ  حلب ,0,,msa
629, ولو قصفت طائراتهم وأضافوا عشرين دولة معهم. لن يغيروا مجرى التاريخ ولن يفلتوا من الانتقام والثأر اليمني طال الزمن أو قصر.  اليمن  السعودية ,0,,msa
630,ليه مستكترين إن الست تنفيطيب شكرا ليها إنها نفت كلام طائفي زي دهولازم يتم عمل تحقيقات قضائية لإثبات وجود قرصنة ولو طلع كدب ساعتها تتحاسب,0,,egypt
631,حركااات الكويت لونها اصفر  حرية الصحافة,0,,egypt
632,اسكندرية تحذير هام جداً جداً وصلتنا رسالة تحذير بخصوص حالة  ثبيت وسرقة ,0,,msa
633,للوطن وللديمقراطية ولدولة مدنية هي حق لنا جميعا: 1) عارضت الإعلان الدستوري المكمل منذ اللحظة الأولى وأؤيد قرار رئيس الجمهورية القاضي بإلغائه,0,,msa
634,  الجيش السوري يسيطر على اجزاء واسعة من حي الحلوانية على طريق مطار حلب الدولي شرق مدينة حلب. ,0,,msa
635,بعض الأصدقاء الذين أحترمهم رفضوا فكرتي بفظاظة لازلت مقتنعا بها مهمتنا ان نقضى على الأمية وان نقضى أيضاً على استغلالها لحساب اى فصيل,0,,msa
636, مستوطنون مسلحون يتجولون برفقة قوات  الاحتلال في البلدة القذيمة لمدينة  الخليل يوم أمس ,0,,msa
637, احس بيونسيه الفنانه الوحيده الي تقدر تغني وترقص لايف ذي الايام ,0,,levant
638,مبروك ل هيلارى كلنتون للرئاسة امريكا,0,,msa
639,عليك نور !,0,,egypt
640,ميرسي يا يو…,0,,egypt
641,  ماذا لو المدارس مختلطهعزيزي المعلم لاتتهاون برصد ومحاسبة الطالب على أي شي مخالف للوائح السلوك والمواظبة..تطبيقها يجعل البيئة المدرسة👍👍👍 ,0,,egypt
642, تحيا مصر    Ä  سأنتخب السيسي !!!!!!!!!!!,0,,egypt
643,فكرك هوايا دا صغير ياللي انت ناوي تدوبني  دينا الوديدي,0,,egypt
644, احتفالاتنا بمناسبة المولد النبوي الشريف على صاحبه افضل الصلاة والسلام ) هو يغيض الكفار ويجعلهم من هزمين ماديا ومعنويا وثقافيا ولا ارادة لهم ,0,,msa
645,عزلة الانقلاب عالميا تتزايد وكل دول العالم تمنع مواطنيها من الذهاب الى مصر حتى حقراء الخليج من ممولى الانقلاب يمنعون أهلهم,0,,msa
646,وهذه الاحداث من شأنها إدخال البلاد فى فوضى وفتنة طائفية، و دفع المجلس الاعلى إلى اتخاذ قرارات تعطل عملية التحول,0,,msa
647, متي تتيقن جميع الفصائل السوريةان المجتمع الدولي الصليبي وبعض الدول العربيةضدهم وضد ثورتهم وان ينطلقوا من هذا المبدأ لتحرير ارضهم ونبذ الفرقة ,0,,msa
648,سنسمو على خلافاتنا السياسية والحزبية وسنعلى فقط المصلحة الوطنية ستنتصر ثورتنا وستكون مصر قوية بإذن الله,0,,msa
649,القبض على ضابط أمريكى متقاعد بالشيخ زويد وبحوزته وثائق وبيانات عن سيناء وجهات سيادية تبدأ التحقيق معه,0,,msa
650,عرض خاص غدًا على مشاهد مباراةنصف نهائي أبطال العالم - ريال مدريد × كلوب أمريكا- الخميس. 15 ديسمبر- الساعة 1:30م بتوقيت مكة نفي,0,,msa
651,الانتخابات ألأخيره كانت بين اختياريين كلاهما مر !,0,,msa
652,انها قنبلة موقوتة استمر فى تطبيق قانون الطوارىء و خاطر بالانفجار,0,,msa
653, وكأن الله يهون علينا  في مصايبنا ربك كريم يا  بنغازي ❤️صيبا نافعا يارب ☔️ ,0,,msa
654,أتابع ما يحدث اليوم وسأعلق عليه خلال الساعات القادمة، وحزب مصر الحرية يصدر بيانا الآن,0,,msa
655,أخشى من أن يشوه بعض من يتكلمون باسم المشروع الاسلامي أن يشوهوا المشروع د عبد المنعم أبو الفتوح أثناء لقائه,0,,msa
656,تفاؤلى نابع من إيماني بأن (الله لا يضيع أجر من أحسن عملا)ولا يوجد أحسن وأعظم عملا من أن يضحي الشعب بدمائه من أجل الحفاظ على وطنه وعرضه,0,,msa
657,  لافروف : واشنطن أخطرت موسكو أنها لن تستطيع بدء المشاورات حول حلب يوم الأربعاء. ,0,,msa
658,  ديربي المرسيسايد بالتوفيق لزعيم بريطانيا  ليفربول ❤️❤️ ,0,,egypt
659,وحدوا الله يا جماعة وبلاش إشاعات عن مفاجآت عشان مش عايزين إحباطات كل الحكاية ملف معقد هنحاول نفهمه مع بعض :),0,,egypt
660, يوم جميل بفوز تشيلسي وبعد شوي حلقة الفايكنغ والظهر ريال مدريد ❤️😰 ,0,,levant
661, مشاء الله امطار الخير الان على الغالية  بنغازي اللهم صيبا نافعا يا رب اللهم اجعله بردا و سلامه على جنودنا المرابطين في الجبهات ,0,,msa
662,  حلب: الجماعات المسلحة قامت بتلغيم وتفخيخ  مشفى القدس الواقع بين حيي  المشهد و  صلاح الدين بعد خروجهم منه تحضيراً للخروج من الأحياء الشرقية. ,0,,msa
663,تحيا مصر  مصر جميلة  مصر المحروسة  السيسي هايصالح  السيسي رئيسي 2014,0,,egypt
664, بغنيلا وبدئلا وغير بحبك مابئلا  رامي عياش ,0,,levant
665, صراحه اشكر اللي اخترع برنامج  اوبر ركبت مع واحد سيارته تاهو اسود يجلط من زينه ، ما كان ودي اوصل للمكان اللي ابيه من زينه ,0,,gulf
666, رقم ثلالثة بعد نجيب الريحاني واسماعيل يس ممسل عبقري ليس له نظير  عادل امام ,0,,msa
667, رأى الرئيس ميشال عون أن (الرئيس السوري) بشار الأسد لو خسر الحرب، لتحولت سورية إلى ليبيا ثانية ، ,0,,msa
668, صافيناز :),0,,msa
669,الآن محاضره عن الصحابي الجليل وخليفة رسول الله  عثمان بن عفان  ذو النورين  إذاعه القرآن,0,,msa
670, احمد الشيخ احسن لاعب فـ الدورى و المصرى احسن كوره لحد دلوقتى . ,0,,egypt
671,تعرف على تواضع  النبي صلى الله عليه وسلم  كلام جميييل  تدوين,0,,msa
672,يا رب… إن عبدك جلال عامر جعلنا جميعاً نبتسم في الدنيا وأدخل السرور إلى قلوبنا، اللهم أجعله مبتسماً عندك، مسروراً في جنتك,0,,msa
673,  ستولتنبرغ|  الناتو يعني تماماً خطر المقاتلين الأجانب الذين يتسللون إلى  أوربا  مباشر  تركيا ,0,,msa
