,tweet
941,imagine your delivery being 2 hour late and imagine calling up your service team only for them to hang up at 10pm coincidentally the same time the office close But it’s okay my £3 delivery fee is being refunded though 👊🏻
942,finding vegetarian chocolate mousse is such an annoyingly hard task to do
943,I haven’t seen my best friend in over a year I am not coping well
944,happy one year vegetarian to me ❤️🌱
945,I don't think they did but I could be wrong Jon Ronson interviewed a guest booker for the Jeremy Kyle show for his book The Psychopath Test There's a short exerpt of it here It paint an ugly picture of how these guest were viewed and manipulated
946,There are so many film I want to see atm This would be amazing 🙌
947,Yes NEU 👏👏👏
948,One positive of being stuck inside all the time is I've almost got back to being a good at FIFA a when I wa 15 and I consider that an achievement
949,Having my first experience of a Whetherspoon hotel tonight and pleased to report that while the bed is comfy the bathroom smell suspiciously of cider
950,There's a gigantic newly opened posh box of chocolate in the kitchen at work marked 'for everyone' and now I'm wondering which one of my colleague got dumped on Valentine's Day
951,I think France will win #Euro2016 Predict who will flop and come out on top at
952,This is the XI I think should start against Russia at Euro 2016 Who would you pick #MyEnglandXI via
953,Two goal caused by two awful goalkeeper #Capitalonecup
954,i despise the racism within oldham
955,i am 21 year old and i still love harry style a much a i did when i wa 11
956,let’s bring it home biden
957,Whenever I text Scott in the middle of the night and tell him it’s been a rough night or that I’m tired he brings me breakfast home and this is the type of love language I’m here for 🤗
958,I’m going back to work exactly 8 week postpartum and that just doesn’t sit right with me
959,I’m on a serious treat myself kick and I’m not mad about it
960,I just wanna lie in bed and eat skip and get paid for it
961,I am late to the same lecture every single week it's so embarrassing
962,Cannot cope with uni reading it's doing my head in
963,I ask myself everyday why did i pick art
964,All these exams😭
965,Bring me the horizon's new song drown is my new favourite
966,spaghetti bolognese isn’t the same without garlic bread
967,bloody buzzing i’ve got a new job
968,elrow at ushuaïa wa bloody great
969,Trains are so unreliable 🙄
970,Love Frank Oceans new album👌🏻
971,Mom put powdered carpet cleaner all over the floor and now it legit smell like we are living in a stable
972,Rust is basically turning into Subnautica 2
973,He's right not enough to warrant resubbing and at this point people are already talking about the next expansion because they're completely over this one
974,Really interesting map you can tell a lot of love and care went into it
975,Selling 2 X Zutekh Presents Mella Dee at Square One Manchester Tickets 22nd August £18 Each cheaper than face value Message me or to buy
976,I’ve got 4 weekend ticket available DM me
977,Wouldn’t change you mads💘
978,Off to london today for the Aurora Programme See all you girl boss there 💁🏽‍♀️💕 #Iamaurora
979,One positive of the dark morning is you can walk the dog in your pyjama and no one can tell 🤗🤗🤗
980,Submitted my application for PhD funding today then shit myself and wanted to withdraw it 😂🙈
981,Been playing Ghost of Tsushima and I love it
982,Trying to meet my friend and she’s literally lost in John Lewis omg
983,Do the people on love island not feel so awkward meeting their partner parent in a bloody bikini
984,It's been so lovely to see the world in blue and green and gold again this afternoon after a week or more of endless grey Sunshine I have missed you
985,The little girl next door just dashed across the garden shouting I've got to put my mermaid tail on Humbled by both her wardrobe and her sense of purpose
986,Strong people have no need to bully Bullies are never strong Shouting and losing your temper are not sign of strength
987,Bar Woah Knee
988,Coronavirus looking at everyone going outside on their snap
989,More Life to Me 😌🥳 #23
990,i think everyone should get an air fryer❤️ good vibe only
991,the thought of one of my sibling getting my room when i go to uni make me sad af😔
992,setting is such an interesting place
993,Anyone else with AT&amp T have no cell service
994,Still haven't fully comprehended I go back to work tomorrow
995,Had an end of the year gathering with my m coworkers tonight and it wa just so nice to be together Get vaccinated guy
996,That white one is definitely the best of the 3 love that
997,Ok but seriously Why did Hasting’s go back to Carmichael and tell her Setting her up for the next season Or am I just clutching at straw Considering he wa appealing too Surely there’s another one it didn’t tie the end up it asked more question Thurwell wasn’t dead
998,Grealish is just good You hate to admit it but damn
999,A Christmas story About three year ago my Mum told me that she’d bought me a present she wasn’t sure if I’d like it whether it wa my kind of thing or not but she’d loved it so she’d bought it and put it away And then she lost it
1000,I wish Facebook would introduce a ‘rude’ option on it ‘like’ panel I feel ‘wow’ doesn’t cover it Maybe it could be a middle finger
1001,I wanted to be so much harsher about Zoom meeting
1002,please i just want a gp that can prescribe me my bridging hormone
1003,I am so fucking tired of living in the UK
1004,Someone on reddit the other day said that I 'ooze enby energy' and I've been riding that high for the whole weekend
1005,yall ever chip your tooth from accidentally biting your tongue ring
1006,i gotta get out of this city i made $18 doordashing for an hour and a half 😭 3 order and only one tipped lmfao he wa the sweetest tho he gave me a cash tip a 3 00 tip on the app &lt 3 i miss him
1007,i have this reoccurring nightmare where i accidentally forget to put on shoe before school and i have to spend the whole day barefoot
1008,Does he order 11 at once and drink each one at just over 5 minute OR do we have to take into account going to the bar Either way it’s a disgrace and not what we should be promoting to the kid
1009,HELMET CAM 😍😍😍😍#BelgianGP #SkyF1
1010,Not having this Arsenal kit look like Ajax And the goalie’s wearing the away kit
1011,me and my gf are on a reality tv show binge lately doe anyone have any suggestion for particularly Unhinged reality show
1012,aw i had a dream i bought a big book of word and their meaning and now i’m awake and sad also in the dream i wa wondering around the most magical library bookstore gift shop
1013,i really hate goodreads notification system IF I DECLINE A FRIEND REQUEST TAKE IT OUT MY NOTIFS 😭
1014,I want to join to become a validator of the first Proof Of Person Blockchain #idenainvite
1015,Join me on to help save our planet in just 2 minute a day #UnitedForGood
1016,I swear I heard this sample way back a far a London 2012 opening ceremony
1017,Hi there I'm told by the staff at fellowship square on this hot day that there is no cold water provision to full up reusable bottle unless I want to fill up from the toilet is that actually my only option
1018,Hip flask ☑️ Dark rum ☑️ Peppermint cordial ❎ Will be going to get some later though Inspired nice one
1019,That John Carpenter 📼 selection T is pure class Yes I'll take that one please ♥️
1020,In term of usability is there a more frustrating web site than ebay
1021,First proper Coffee in 4 month
1022,Broadband back starting to feel a bit more normal
1023,I can’t believe it’s been 20 year I’m still a much in love with them now a I wa back then 🤣 they gave me the most amazing friend in 💙💙💙💙 #20yearsofBlue
1024,Frankie is so lucky to have some amazing people in his life Those that haven’t bothered are missing out
1025,So I can go the pub have a meal go to the cinema hairdresser and a shopping spree yet won’t be allowed to see them meet my newborn baby 🤯🤯🤔🤔
1026,Everyone Get Vaccinated
1027,E10 petrol in the UK classic car scene is about to die
1028,I've got covid
1029,We watched this and were really saddened by the lack of deeper digging around this issue There wa an air of blame uk jobless for not stepping up Needs a proper investigation and not a fluff piece IMO Thanks for your tweet though
1030,Congratulations to you both A happy life together
1031,We think you are very very funny and very very very etc brave You nail the issue and put those that actually believe the comment you make to shame Please keep doing what you’re doing
1032,Shameless Dead Snow 2 misquote The sequel I did 'nazi' coming Can't wait
1033,#CNOH3 what a blast Thanks to &amp the beautiful for your awesome message Much Love ❤️👹👻💀
1034,We'll be giving classic cult and trashy movie away next week at our charity horror night 📽💀⚰🔪👹
1035,missed this the first time round but a conversation I really wanted to see happen great article
1036,this narrative of protection that woman require is infantilising and off base it implies requiring smothering a opposed to freedom to occupy space yknow a people
1037,Being a girl is about garish blue eyeshadow mostly
1038,Just came online to remind y'all that Davido is still The King
1039,Drake literally ended everyone in the industry like
1040,Happy new month to all my Mutuals and Friends on here wishing u all good health and more financial breakthrough this month
1041,Passed my PhD today and I could not be happier
1042,Here is my book that no one will ever read 👨🏽‍🔬
1043,The is open again 👀
1044,The city is flying we’re fighting robot and I have a bow and arrow Classic
1045,For anyone with Three network you can upgrade or pre order over the phone online hasn’t been updated
1046,Got some beer in for the keynote roll on 6pm
1047,My stray boy playing he is looking well but still worried 😟 will manage one day to grab him I got sliced up today though
1048,Why do I get update for bloody football all the time
1049,Do you walk past people and automatically think you’re defo a tory
1050,Tankful for my 20 90 Tank Cat
1051,How often
1052,All I want for Christmas is Fate Collab Rerun in 2021 Alongside Blu ray release
1053,Gets James off ffs
1054,Refs dashing out yellow to united player for joke
1055,Bring on diallo ffs Nothing is working rn
1056,Totall Carloss #WTF1
1057,Marshalls in Zandvoort be like #WTF1
1058,Wow did you see that Nice triple overtake from Norris #ImaginaryGrandPrix
1059,i’m usually pretty good at guessing the ending of a crime series but #clickbaitnetflix had me changing my guess every episode SO good highly recc
1060,wish i could ctrl f my bedroom
1061,people in london are always asking me for direction i am a lost a you
1063,Vaccine dose 1 Thank you science
1064,just tried to make a hot chocolate using only cold milk and wondered why it didn't taste right that's where I'm at today
1065,Not me seriously debating buying a singular can of monsta energy of amazon because I'm really craving one but I'd feel guilty if I went into Tesco just to buy one
1066,#NakedForMonstaX This is a great hashtag 😂
1067,Me and my mum just went through our cupboard to find some food for a food bank collection only to discover half of our food is out of date 😬😅
1068,Definitely the best #WWERaw match in a long as time Glad Damien Priest is getting some shine
1069,I don't remember the last time a Sixers game gave me a heart attack but this game wa a roller coaster Hell of an effort but those 10 missed foul shot really hurt
1070,I'm big glad I'm not a Sonic fan because Sega gassed them mfers up for a lot of nothing
1071,every time i see someone named david im like wow that really IS a guy named david
1072,when my sister wa younger she made comic series called harry potter love bacon in which harry potter discovered a love for bacon
1073,ok call me crazy but sometimes i swear i get a little kombucha buzz
1074,No but the worst type of boy is the one that wear short and sandal when it’s snowing and constantly reminds you that it’s not that cold
1075,Finally listening to Luke’s album and I really like it very vibey
1076,Why do people get so opinionated over other people going to uni Like it’s my debt and my time I’m ‘wasting’ leave me alone
1077,Doing Kings Worthy School quiz 9 10 face number 9 let u down thought it wa but it wa actually Rolf Harris #fail 😑
1078,The most wonderful time of the year ✨ in my element 🥰🎄
1079,Completed it ✅💚 Jurassic Coast Macmillan Mighty Hike wa tough but so rewarding Up at 5am &amp home by 10pm 😳 BUT view to die for the BEST team ever Jake completing it in his slider which is a whole other
1080,the forbidden groove genius of love and maroon 5 were exactly the vibe i needed today thank u so much for sharing ur talent with u on ur live stream
1081,so pumped to see tonight ⚡️
1082,i needa win cmon wildcat william #JWUFAMBINGO
1083,Hello I just had my food shopping delivered by a man called Gary and honestly he wa one of the nicest driver I have ever had He wa attentive talkative and wa interested in how our day had been Please can you let his manager know Asset to the company
1084,Few of u who are in low classed job who are still in work a we are classed a essential worker are the same people who were claiming UC over the past few year &amp got scrutinised for it #UniversalCredit is trending because now people see how UC isn't just for lower class
1085,The key thing to remember here is these boy are someone's loved one They did their best Lets leave the hate Racism isn't the answer either #eurofinal #Euro2021
1086,Any other #Rammstein fan randomly had their merch order cancelled
1087,#bbcfootball one simple question WHAT THE HELL DO WE DO ALL WEEKEND No football No F1 Gardening
1088,Today ha been a good day I didn't fall off a ladder my model train show ticket came I got mentioned on they liked my bostocks cup recommendation and more importantly they got my name right Hurrah
1089,Having neighbor is the worst 🤬
1090,Running on 2 hour of sleep the past 2 day 🥴
1091,I just had to hide all ad from Crumbl cooky cause I’m fat and can’t resist temptation 😫
1092,Yeah I'll probs try it out too
1093,shit healer
1094,It literally say in the article that he’s expected back next week
1095,Living with a str ight man is like living with a four year old
1096,All this extra time and I’m still not flossing
1097,If a dude say female I automatically don’t trust him
1098,simping for guy that don’t even know you exist is a different type of heart break😔
1099,Sometimes I think I’m ready to live in an apartment either with the homies or by myself but then someone ring the doorbell and I get into a full blown anxiety attack because I think it’s someone trying to kill me lmao
1100,I’ve just spent 6 hour watching minecraft streamer instead of doing my homework I have no regret
1101,when I wa younger I used to think that time zone also could change by minute and people in other town could be in 12 56 while I wa in 1 14
1102,dog and cat are happy animal i pity anyone who cannot love upon these magical creatured because of allergy only heathen dislike them i cannot be a part of a friendship where the alternate person ha even the slightest disinterest in them
1103,i just deleted every tweet from beyond this year because connor wouldnt stop asking for my cringy as twitter damn
1104,i just sewed through my finger and my brain is just like ' how annoying is it that i just broke another needle and i'm going to have to buy some more' instead of OW I have 2 hole in my finger can i swap brain
1105,Of course I wa going to spend my birthday desperately trying not to poo myself
1106,Sad because I’ve missed so much of Oxford the past year but happy cuz I just saw a squirrel carrying it’s baby whilst writing my essay by the river I love it
1107,stolen from somewhere
1108,Got my xqc hoodie and signed card a few day ago Feelsgoodman
1109,Beautiful animation and hype song what more could be asked for
1110,APPLE CIDER IS BACK AT DUNKS BABY
1111,i cant wait to leave boston
1112,this is the first time in 6 year i haven’t had to move i am so relieved
1113,i love acknowledging the other twinks on campus hi friend
1114,it take 2 minute for me to paint my nail so sometimes i do it impulsively and then sit there looking at my hand like fuck i have thing to do rn
1115,i want thai food Right Now
1116,Is it just me or do they keep taking The Associate on and off Netflix
1117,I’ve decided that I’m ready for the Schrute Farms offshoot show now
1118,You know you live in a city when you refer to crumb a roach snack
1119,But you get to see me
1120,Anyone selling a parklife weekend ticket
1121,SO PROUD OF YOU
1122,taking spanish at ut wa not my best decision 😐
1123,cold weather please hurry i want to wear sweater again 🙏🏽
1124,crocheting is hard
1125,the curious george soundtrack radicalized me at the tender age of four
1126,rom coms from the 2000s are simply built different
1127,my favorite brand of old people are the one who work a tour guide at national park
1128,yesterday 4 dinner I just had rice w sriracha sauce on it and it wa arguably the best meal I've had in a while
1129,why wa suite life on deck not called zack and cody on a boaty missed opportunity
1130,excited to start my new hobby of standing in the lgbtq section of the feminist bookstore and look hot and mysterious until I get noticed
1131,My tolerance for heat is near zero Sweating putting washing out 🥵
1132,Just had my window cleaned and I feel posh lmao
1133,I hate how anti vaxxers have ruined everything Trying to find information on vaccine side effect and it's plagued with moron
1134,I forgot to kip
1135,Pub crawl pub crawl pub crawl pub crawl pub crawl There are pub and I am crawling too them
1136,I want one of those ninja insect You know the guy
1137,why is someone jackhammering at 8am omfg
1138,I want a bloomin’ onion
1139,now that I’m working in the commercial talent business I can’t help but wonder how much Jake from State Farm get paid I think about it every time I see a SF commercial
1140,Poor Steve Clifford Next hire ha to be right to get u from A to B #Magic
1141,Making the leap from TopShot officially purchased my membership this morning Very excited Thank you and team very easy process
1142,Also hopefully and presumably the Magic front office continuing to do right by player Give an opportunity develop let them go to a better situation That's the way to do it
1143,going to class
1144,going to class
1145,can some1 do my geometry hw
1146,I hate when people rag on Arthur’s name without knowing the meaning behind it Arthur wa named after Mikeys great great uncle who committed suicide at the age of 30 Grandpa say he wa one of the most generous men he ever knew and wa a very special guy to grandpa 💛
1147,Maxwell Arthur’s middle name is Grandpa’s name So he ha a piece of two very important people of Mikeys family Grandpa is a incredible guy and this wa probably the only thing at this point that we could give him to make him feel appreciated and loved Grandpa love his name
1148,Want another piercing 👀
1149,Trader Joe's Candy Cane Joe Joes are pure crack and I cave to them every year
1150,At the point in my life where my body keep developing new allergy My metabolism ha slowed hangover are no joke anymore and now I can't eat several of my favorite fruit Screw wrinkle this is the reason why people are afraid of getting old
1151,Sitting on our new leather sofa window open rain outside candle burning Sex and the City on glass of rosé in hand This is it This is a pure vibe
1152,Please DO YOUR JOB or resign Enough is enough
1153,I have zero tampon and 2 5 week to figure it out 😳
1154,Damn At my wedding we drank enough to make up for the no show 🤔
1155,My bank account when I’m bored and online shop during work
1156,As a kid I definitely thought I’d come into contact with quick sand way more than I have
1157,5 star personality 4 8 star uber rating
1158,My president
1159,anyway you’d want to come to the Jazz
1160,You know it’s bad when your vet text you to check in on your dog diet #thicc
1161,If Nick Lachey win TMS I will be so bitter
1162,Just realized I don’t have more than 3 full week in a row at work the rest of the year 💁🏼‍♀️
1163,That rest stop wa so stressful I forgot to pee 😩
1164,recording myself talking in spanish and then having to listen to it back is seriously one of the most painful thing in my life
1165,youve heard of coffee enema now get ready for coffee bidet
1166,it my party and ill shit if i want to
1167,HmMMMmMM four day off for the holiday crappy weather = mini personal writing retreat I like it I like it a lot
1168,just asked a patient if she'd like to schedule for the same time next week and she said no but it wa nice meeting you well fair enough 😅
1169,why am I so tired and also why is the answer always chronic pain
1170,im not ignoring you I’m just ignoring my responsibility
1171,i turn 18 today &amp im not even gonna be surprised if my parent tell me I’m adopted bc my genetics would a lot more sense
1172,sorry to the proctor for my chem exam last week that saw me cry for 20 min don’t worry I changed my major 🤟🏼😬
1173,Hell of a last second decision by Hooker
1174,Liberty just went 95 yard on u with ease Damn we’re so soft
1175,Herbert’s vision is elite #Hokies
1176,Once you give a give a charlatan power over you you almost never get it back Carl Sagan #BrexitShambles
1177,to me to me to me to me awwww
1178,My child are 18 9 and 7 They have never known their nation at peace #ww111
1179,Why ha Murray not already thrown this set No way he come back from 5 0and just tire himself out for no apparent reason
1180,Just poured boiling water all over my cereal instead of into my tea cup gonna be a long day this
1181,Villa and Newcastle shirt seem to be a massive clash for my eye
1182,YOU HAVE TO understand that people fight INVISIBLE battle don’t invalidate anyone’s feeling
1183,if you drive dangerously on purpose you’re the scum of the earth
1184,why do i get ripped to shred about shopping in primark their crop top are stunning and cheap so why not I don’t earn money to waste it 🙃
1185,I entered HUGE BACK TO SCHOOL GIVEAWAY to win a macbook pro &amp ton of other prize CHECK IT OUT HERE #grav3yardgirl
1186,
1187,Please showcase Hanahs story The dog who wa ripped form her mother arm in the Joplin tornado Let's bring her
1188,I deeply regret downloading tiktok yet not at the same time
1189,I want to see Drew Lock cry
1190,do you guy ever turn the music down to try and figure out what that smell is
1191,My first tweet Hello twitter let's see what you can do #newbie
1192,I've been waiting for a refund for over six week from Sky and no one seems interested in helping me despite multiple call to your customer service team Please help me Sky took my money but seem very reluctant to return it
1193,It wasn't a million people It wa estimated to be between 312 000 and 400 000 #facts
1194,Exams have finally finished I can be happy again #woooooo
1195,Unpacking is the bane of my life
1196,Happy New Year everyone Bring on 2014
1197,i hate that low rise pant are making a comeback i will NOT be partaking
1198,if anyone want to count their shirt for me let me know need some validation having a crisis because i have 58 sweater t shirt crop top all inclusive a long a it can be worn alone a a top and i think that is way too many but i also can’t bear to get rid of them
1199,i’ve never been a runner very fast at all and it’s been a year or two since i’ve been in what i would consider good shape but i decided to work on that this summer since the beginning of June i’ve gone from running an 18 29 mile to running a 14 06 mile and i am so proud
1200,gonna finally put in my two week today 🙌
1201,☯️&amp 🤍
1202,what it do babyyy🤠
1203,As if some people left the cinema during Super Trooper I am so offended 🤯
1204,My dad is bringing me home Spider Man Vans from Spain I cannot wait 🙌🏼
1205,2 assignment due Friday and I have no motivation to do either of them 😭
1206,RIP spider man 💀
1207,This is so good
1208,Dear No Label Academy student we’re still not done Each and every one of you will receive a brand new MacBook to continue your musical journey’s ❤️
1209,Lol i actually realized that I’ve justified not working out for the past three month by telling myself that my hair wa too short to fit in a ponytail
1210,If something say made with coconut oil i will absolutely spend $1 5 more on it
1211,Lies we’re told flight are the cheapest on tuesday
1212,All I've done this summer is binge watch The Office and Friends 🙃🙃
1213,Sleep is numero uno
1214,Prayers go up blessing come down
1215,now you have a reason to play this
1216,fashion soul fashion soul fashion soul at lunch
1217,Regardless of what's happening between Reddit and Robinhood I hope we can all agree that Elon Musk should shut up now and forever
1218,where are your shoe from in the rain on me video i LOVE them
1219,friendship is such a beautiful thing and deserves more credit than it get
1220,just listened to my all straight friend group talk about boy for THREE HOURS i am DRAINED
1221,Wow how do y’all watch basketball just a bunch of dude running around and bouncing a ball what a snore fest
1222,Every day Spotify insists I listen to ‘coconut’ by Harry Nilsson but I don’t ever have the heart to skip it so the cycle continues and the algorithm becomes further entrenched
1223,So you can’t really get huckleberry outside of MT WY area because they’re hard to cultivate and need to be picked by hand at high altitude making them ~$65 lb But bear love em and will go to town and eat like $300 of huckleberry in a sitting and I love thinking about that
1224,HOW DO THEY GET THEIR HORSES TO JAPAN
1225,18 yr old literally in the olympics me just melted the bread bag onto the toaster
1226,Last night I wanted a quesadilla so bad but I ate salad Now though My time ha come I am eating a quesadilla
1227,I am just looking at this again today did you ever get consistent success with fMRI and Eyelink eyetracking I am tempted by the MRC SYstems's fMRI safe 12M camera IR pointed directly at the eye through two way mirror but all the researcher are familiar with Eyelink
1228,Well now I am going to have to make my own frowned upon by the Scottish church new tinder profile sorted
1229,#psychtoolbox see a massive update and flashy new URL installation easier HDR support and recognising Mario Kleiner’s outstanding work keeping them relevant in time critical fMRI experiment in a time of nascent open source rival
1230,It’s frustrating that the moment in my scientific career where I have the MOST discovery &amp insight to share is also the time when I can’t attend conference I can’t afford the cost now that I’ve graduated Anyone else feel the same #AcademicTwitter
1231,My new favorite thing to do while teaching this insect ecology course is to make a stupid mistake like posting the wrong zoom link or uploading the wrong assignment and then say can you believe I almost have my PhD to my student They cannot folk
1232,Any #beetwitter or #ecologytwitter scientist have suggestion for where to submit small protocol paper Rejected multiple time everyone expects a full research article but this wa just a small but worthwhile protein assay analysis protocol test suggestion appreciated
1233,If u watch the game at my house &amp u talk during Cal's halftime interview my dad will frantically shush u and say God is talking
1234,It's important to note that majority of Americans voted for Hillary so if you are feeling alone and betrayed you are wrong We are here
1235,Teachers are such precious gem
1236,YouTube just gave me a gamer targeted covid vaccine ad and anyway get vaccinated gamers
1237,I keep getting dramatic anime style cowlick in the morning and I'm thinking one day I'll just go out without brushing it down to let everyone know I'm the main protagonist
1238,late night coffee craving are tempting fate
1239,my apartment is implementing a new app that let you tattle on someone being in your parking spot smh now i actually have to pay for parking
1240,that before the gym nap make hitting the gym so much better
1241,our waitress at dinner tonight complimented my muscle so i guess you could say i’ve made it
1242,Football is a rollercoaster And all those loss and heartbreak are all worth it for night like this #AVFC #AVLARS
1243,At this time more than most it is important to celebrate #Pride2020 No one should ever be afraid to love who they love or to show it #Pride
1244,#SpaceX is incredible For all the problem in the world the pursuit of discovery and doing thing that have never been done before warms my heart 🚀
1245,going to drive around in the rain &amp listen to lil miss olivia rodrigo
1246,another day of a mediocre white man getting a job he truly doe not deserve
1247,tiktok ha a new girl saying time to go to bed stop scrolling &amp i decided i’ll listen to her but only because she didn’t scream at me
1248,we hit 17% of american fully vaccinated in case anyone wa wondering
1249,fun fact earth day started in santa barbara
1250,my friend prof really monetized her lecture on youtube 🤣
1251,Gods playing game today Makin it 68 degree but 1000% humidity Smh
1252,If you are a grown adult and you are riding a razor scooter around please grow up Best regard
1253,Good morning to everyone except Tristan Thompson and Jordyn Woods
1254,'but that's different' is never a valid argument
1255,really not taking this 'university in lockdown' thing seriously
1256,Sometimes I forget giraffe exist 😳 I meannnnn wtf is they
1257,no fr like the mental strain we go through and it’s also the fact that a lot of these nurse we have to work with either take our free labor for granted by treating u a their personal aide or treat u like dirt ain’t right or fair
1258,taking a social medium cleanse deuce ✌🏾
1259,u did such a good job the last time I can always reteach u 😌
1260,why are salad so expensive It's like I'm being punished for tryna eat healthy
1261,I put on work out clothes then lay on my bed and watch Netflix
1262,bye Obama luv u
1263,I have never missed something a much a I miss the soy milk machine at the dining hall
1264,Wow the realization that I now never have to take a language class ever again just hit me and I feel like I could float on a cloud with that weight off my shoulder
1265,By the way Rutgers furloughed their emergency service worker but not the athletic trainer or police Make it make sense
1266,I think about Blue Rat whenever I see an energy drink 'All the energy of a rat in a can'
1267,After I hurt my back I found out I'd been getting out of bed wrong I'd literally be better off staying in bed
1268,Bringing together 2 of the best thing in life tea and The Maccabees Young Lyons
1269,They are legally entitled to ask for asylum
1270,You can help protect Hossein and Arman Join me and in calling on Iran to halt the execution now
1271,Just ordered the 'Sea Lover's Sharing menu' for a family celebration next week look amazing
1272,am i the only one who get tomorrow confused with tomato
1273,one time i lost a tooth in a bowl of lucky charm and then thought it wa a marshmellow bit into it and cracked another tooth
1274,i almost forgot to tweet about jason bateman today
1275,Ya know I missed a lot of thing during Covid but movie theater popcorn might top the list
1276,Okay well nice of 2020 to bless u with the gift of great sport team name The Kraken and the Washington Football Team 😂😂😂
1277,The people who throw around the term snowflake a an insult are in fact the biggest snowflake Looking at you
1278,Mom Jack do you have a a lot of homework tonight Jack I finished it all in school God I miss those day
1279,3 class down 2 more to go and then I'm halfway finished college 😳
1280,Just watched the very last episode of the office for the first time Now I'm just sitting here contemplating life
1281,If you say grâce like gra you actually end up saying coup de gras which mean blow stroke hit of fat
1282,RUBY MOTHERFUCKING SOHO IS THE NUMBER ONE CONTENDER #AEWAllOut
1283,Love how Kingston just ripped the buckle pad off #AEWAllOut
1284,My brain ok you have 3 thing to do My anxiety ok you have 30 thing to do
1285,The tiktok fyp know me better than I know myself
1286,I refused free donut and cocoa at work this morning and have been thinking about it ever since
1287,Your family just escaped war bloodshed and devastation #Trump's bigotry sent you back to face persecution #US
1288,A message to all Muslims and Refugees I'm sorry for how my country is treating you You are only human #RefugeesDetained #Trump #rt
1289,For so long Americans condemned greedy businessmen but made that their sole reason to elect #Trump #POTUS #Greed
1290,I refuse to work under someone for the rest of my life I WILL have my own business and be my OWN bos ✨Speaking it into existence✨
1291,I just wanna know why God couldn’t have given me just a little bit of titty
1292,You’re right I should be grateful for you at least
1293,Yo doe anyone know how parking spot are assigned for painting
1294,My ear are ringing so badly rn
1295,I felt like a wet dog after tonight 😂🐶
1296,Breaking news is going back to Wow Just Wow What a signing What a transfer window for United What a home coming Love it
1297,I hope the #COVIDIOTS and #antivaxxers are watching this brutal episode of Ambulance
1298,Little NTA rundown coming at you
1299,Well my vaccinated therapist tested positive for Covid Hope she’s okay and hope my mental health hang on for 10 extra day
1300,My mother in law say grandma great instead of great grandma Among many other mispronunciation but that one came to mind first
1301,I stayed home sick from elementary school and watched it at my grandma’s house I don’t think I understood exactly what happened and that it wa such a tragedy
1302,why is it so hard to find tshirts with cool wizard on them
1303,bought some index card and a 3 ring binder the other day just so i could feel alive
1304,underwater uber also known a scuber
1305,I'm glad I downloaded tiktok it brings me back to the good ol day of vine 🥰
1306,I wish I had a green thumb
1307,I miss wearing makeup
1308,WTF is Tim Horton’s
1309,Bro Drake think about Rihanna everyday
1310,Answer me this how doe my 2014 mac book pro just come back to life
1311,Are apps actually ready for ARM based Apple Macs MiCrOSoFt OfFiCe #AppleEvent Anyway I'm taking suggestion on what new PC to get 😝
1312,Can anyone enlighten me a to what is near Imperial Wharf on the Overground such that a lot of people alight in the AM peak and board in the PM Didn't know there were office there thought it wa residential
1313,Good deed for the day Keeping extra water bottle from work and giving them to people needing it on the tube 🚰
1314,thank you basketball for the last 10 year and memory with my best friend thanks to everyone who supported u from 3rd grade to senior year and thanks to the coach who dealt with u one of the hardest goodbye but so grateful for this sport💛 #TogetherWe
1315,THAT’S MY BEST FRIEND♥️♥️
1316,thanks to everyone for all the love and support so blessed to have this opportunity officially a mustang #stanggang
1317,Dad where did you watch the World Cup in 1966 I watched it on my own in my bedroom with a pigeon
1318,Delaying June 21st is entirely Boris Johnson’s fault for not responding to the Indian variant quickly and keeping the boarder open and we mustn’t forget that This wa entirely preventable
1319,HARRY WON A GRAMMY
1320,michael bublé just put me in such a mood 😍
1321,someone get on a plane with me and let just tour someplace for like 4 day please
1322,sadly the only reason i stop making tiktoks is because my phone is about to die
1323,i love dolly parton that’s all i have to say today thanks
1324,the time is currently 00 24 and the single thing rattling around in my brain is the noise those door stopper make you know the one
1325,my cat always sleep on the very edge of the bed even when i invite him up for cuddle he so polite 🥲
1326,I claimed spy Was I I wa a spy the whole time And I never lied
1327,It make me sad to think that I'll graduate from high school and never see any of my friend ever again
1328,Don't worry even if you weren't born 60 year ago that doesn't mean you can't still be a Boomer
1329,💙
1330,U got more than me🥺
1331,It ain’t funny it’s heartbreaking🥺
1332,happy birthday mol thanks for being such a fun person I love you bunches💖💖
1333,happy birthday pretty hope it's great&lt 3
1334,happy birthday gorgeous have an amazing day i love you 💓💓
1335,Can't put into word how buzzing I am that #LineOfDuty is back
1336,Don't understand the scoring on #AllStarMusicals How ha everyone got 10 apart from Barney His wa the best so far by quite a bit
1337,I just wanna have the same love for life a Phil from Modern Family is that too much to ask
1338,Doggo owner have started walking the dog around the technology park I work on &amp I can see them all from my desk This is the only positive of working from the office
1339,Not Noah trending in auto racing cause Hamilton thought he parted the Red Sea 😭😭😭😭😭
1340,It’s my last full week of working from home 😣 Now it’s almost here I don’t think I’m ready to go back to the office
1341,i need human stimulation in order to be productive anyone who’s down to find a space to co work from home together pls hmu
1342,WHY IS IT SO HARD TO FIND SOMEWHERE TO SWIMMM 🥵
1343,today im grateful for •old friend their mom •kittens •shakira
1344,Just tried to eat soup with my mask on #fail #Masks
1345,Wine pizza &amp UFC is there any better way to spend a Saturday night #UFC #fightnight
